id_associado,nome_associado,sobrenome_associado,idade_associado,email_associado
1,Luiz Henrique,Castro,46,luizhenrique.castro@sicooperative.com.br
2,Maria Eduarda,Jesus,36,mariaeduarda.jesus@sicooperative.com.br
3,Joaquim,Cardoso,62,joaquim.cardoso@sicooperative.com.br
4,Luiz Otávio,da Mata,53,luizotávio.damata@sicooperative.com.br
5,Lorena,Dias,72,lorena.dias@sicooperative.com.br
6,Davi Lucas,Campos,62,davilucas.campos@sicooperative.com.br
7,Gabriela,Azevedo,39,gabriela.azevedo@sicooperative.com.br
8,Vinicius,Rocha,45,vinicius.rocha@sicooperative.com.br
9,Gabriel,Azevedo,26,gabriel.azevedo@sicooperative.com.br
10,João Guilherme,Lopes,38,joãoguilherme.lopes@sicooperative.com.br
11,Juliana,Rezende,24,juliana.rezende@sicooperative.com.br
12,Ana Laura,Cardoso,75,analaura.cardoso@sicooperative.com.br
13,Juliana,da Paz,52,juliana.dapaz@sicooperative.com.br
14,Luiz Henrique,Mendes,40,luizhenrique.mendes@sicooperative.com.br
15,Sarah,Moreira,53,sarah.moreira@sicooperative.com.br
16,Bruno,Silva,61,bruno.silva@sicooperative.com.br
17,Thales,Martins,75,thales.martins@sicooperative.com.br
18,Davi Lucas,Barbosa,31,davilucas.barbosa@sicooperative.com.br
19,Vitor Hugo,Santos,67,vitorhugo.santos@sicooperative.com.br
20,Lara,Melo,18,lara.melo@sicooperative.com.br
21,Ana Julia,Castro,21,anajulia.castro@sicooperative.com.br
22,Marcela,Teixeira,37,marcela.teixeira@sicooperative.com.br
23,Pietra,Nunes,33,pietra.nunes@sicooperative.com.br
24,Kevin,Caldeira,42,kevin.caldeira@sicooperative.com.br
25,João Gabriel,Ramos,53,joãogabriel.ramos@sicooperative.com.br
26,Vitor Hugo,Carvalho,19,vitorhugo.carvalho@sicooperative.com.br
27,Diego,Peixoto,77,diego.peixoto@sicooperative.com.br
28,João Lucas,Correia,27,joãolucas.correia@sicooperative.com.br
29,Sarah,Cardoso,25,sarah.cardoso@sicooperative.com.br
30,Davi,Jesus,49,davi.jesus@sicooperative.com.br
31,Camila,Almeida,24,camila.almeida@sicooperative.com.br
32,Cauã,Gonçalves,65,cauã.gonçalves@sicooperative.com.br
33,Ana Júlia,Viana,80,anajúlia.viana@sicooperative.com.br
34,Caio,Cardoso,27,caio.cardoso@sicooperative.com.br
35,João Felipe,Cardoso,67,joãofelipe.cardoso@sicooperative.com.br
36,Gustavo Henrique,Silva,63,gustavohenrique.silva@sicooperative.com.br
37,Clara,Carvalho,40,clara.carvalho@sicooperative.com.br
38,Júlia,Cavalcanti,72,júlia.cavalcanti@sicooperative.com.br
39,Otávio,Araújo,41,otávio.araújo@sicooperative.com.br
40,Isabella,Moura,58,isabella.moura@sicooperative.com.br
41,Gabriel,Ferreira,33,gabriel.ferreira@sicooperative.com.br
42,Melissa,Cunha,43,melissa.cunha@sicooperative.com.br
43,Lorenzo,Caldeira,21,lorenzo.caldeira@sicooperative.com.br
44,Elisa,Almeida,54,elisa.almeida@sicooperative.com.br
45,Cauê,Monteiro,46,cauê.monteiro@sicooperative.com.br
46,Davi Lucca,Cavalcanti,59,davilucca.cavalcanti@sicooperative.com.br
47,Kaique,Almeida,48,kaique.almeida@sicooperative.com.br
48,Calebe,Silva,23,calebe.silva@sicooperative.com.br
49,Gustavo Henrique,Porto,21,gustavohenrique.porto@sicooperative.com.br
50,Isabella,Costela,60,isabella.costela@sicooperative.com.br
51,Bryan,Silva,44,bryan.silva@sicooperative.com.br
52,Kevin,Novaes,19,kevin.novaes@sicooperative.com.br
53,Pietro,Campos,64,pietro.campos@sicooperative.com.br
54,Antônio,Silveira,27,antônio.silveira@sicooperative.com.br
55,Raul,Castro,20,raul.castro@sicooperative.com.br
56,Maysa,Melo,38,maysa.melo@sicooperative.com.br
57,Sofia,Cunha,79,sofia.cunha@sicooperative.com.br
58,João Vitor,Caldeira,68,joãovitor.caldeira@sicooperative.com.br
59,Laís,Azevedo,63,laís.azevedo@sicooperative.com.br
60,Rodrigo,Sales,79,rodrigo.sales@sicooperative.com.br
61,Ana Laura,Cardoso,26,ana.cardoso@sicooperative.com.br
62,Bruna,Sales,62,bruna.sales@sicooperative.com.br
63,Renan,Carvalho,32,renan.carvalho@sicooperative.com.br
64,Yasmin,Almeida,21,yasmin.almeida@sicooperative.com.br
65,Thiago,Rocha,73,thiago.rocha@sicooperative.com.br
66,João Felipe,Jesus,61,joãofelipe.jesus@sicooperative.com.br
67,Laís,Santos,47,laís.santos@sicooperative.com.br
68,Pedro,Freitas,33,pedro.freitas@sicooperative.com.br
69,Alice,Nogueira,70,alice.nogueira@sicooperative.com.br
70,Thiago,Gomes,69,thiago.gomes@sicooperative.com.br
71,Otávio,Souza,52,otávio.souza@sicooperative.com.br
72,Ana Sophia,Freitas,72,anasophia.freitas@sicooperative.com.br
73,Esther,Nunes,37,esther.nunes@sicooperative.com.br
74,Bruna,Azevedo,72,bruna.azevedo@sicooperative.com.br
75,Bernardo,Moura,41,bernardo.moura@sicooperative.com.br
76,Emanuel,Farias,46,emanuel.farias@sicooperative.com.br
77,Ana Julia,Costa,63,anajulia.costa@sicooperative.com.br
78,Bárbara,Fernandes,42,bárbara.fernandes@sicooperative.com.br
79,Ana Lívia,Fogaça,74,analívia.fogaça@sicooperative.com.br
80,Vicente,Cardoso,60,vicente.cardoso@sicooperative.com.br
81,Isis,Peixoto,49,isis.peixoto@sicooperative.com.br
82,Larissa,Cardoso,50,larissa.cardoso@sicooperative.com.br
83,Igor,Porto,75,igor.porto@sicooperative.com.br
84,Fernanda,Campos,48,fernanda.campos@sicooperative.com.br
85,Ana Clara,da Costa,56,anaclara.dacosta@sicooperative.com.br
86,Isabella,Cunha,53,isabella.cunha@sicooperative.com.br
87,Ana Vitória,Sales,21,anavitória.sales@sicooperative.com.br
88,Alana,Mendes,28,alana.mendes@sicooperative.com.br
89,Giovanna,Costa,71,giovanna.costa@sicooperative.com.br
90,Luigi,Caldeira,24,luigi.caldeira@sicooperative.com.br
91,Beatriz,Pires,29,beatriz.pires@sicooperative.com.br
92,Breno,Farias,66,breno.farias@sicooperative.com.br
93,Vitória,Rocha,31,vitória.rocha@sicooperative.com.br
